"Fecha","Casos acumulados a la fecha","Muertes acumuladas a la fecha","nCFR","nCFR_LQ","nCFR_UQ","cCFR","cCFR_LQ","cCFR_UQ","Tasa_de_no_reportados","Cota_inferior_IC","Cota_superior_IC"
2020-04-09,689,16,0.02322206095791,0.013330315979994,0.0374378024785273,0.078091191560523,0.045268517656043,0.123653016719121,0.179277582019601,0.0970457520438674,0.695302202218335
2020-04-10,712,16,0.0224719101123595,0.0128979075569103,0.0362369861189136,0.0694333245952744,0.0402826050965746,0.110512863686214,0.201632286536843,0.108584644354818,0.769661271412926
2020-04-11,739,17,0.0230040595399188,0.0134564813210745,0.036576876362645,0.0662574889791473,0.0390025578982549,0.103798406410074,0.211296869466425,0.115608711299399,0.775793373950206
2020-04-12,775,17,0.0219354838709677,0.0128289149084571,0.0348891187001037,0.0600661165548271,0.0353792221045022,0.0944386910434097,0.233076496417429,0.12706656421661,0.839311731622469
2020-04-13,795,17,0.0213836477987421,0.0125049215769194,0.0340170920530322,0.0548915713073876,0.0322664621068106,0.0863520606400965,0.255048264543227,0.138965994685574,0.901112958520332
2020-04-14,816,20,0.0245098039215686,0.0150340312235342,0.0376005153244183,0.0594461170165944,0.0367341425990836,0.0904351190470079,0.235507392284207,0.132691814048063,0.778692707231429
2020-04-15,826,21,0.0254237288135593,0.0158050193887788,0.038601327664296,0.0578484798792884,0.0361638073447646,0.0870747373996952,0.242011545147143,0.137812646450106,0.774813465042188
2020-04-16,882,21,0.0238095238095238,0.014797486529266,0.036166024109632,0.0539485325930163,0.0337242146197782,0.0813397710499539,0.259506595028542,0.147529306329499,0.815355704613064
2020-04-17,907,22,0.0242557883131202,0.0152619639535402,0.0364942612630205,0.0529489400843234,0.0335168955650196,0.0791634692855493,0.264405670400662,0.151585069581968,0.805616458083699
2020-04-18,944,23,0.024364406779661,0.0155061950891234,0.0363352908806006,0.0520506677541227,0.0332688157139095,0.0770592940687548,0.268968691547499,0.155724239950774,0.797837134178136
2020-04-19,972,23,0.0236625514403292,0.0150577857899821,0.0352948525583614,0.0490954202063125,0.0314054572308523,0.0728319672542066,0.285158981044833,0.164762815730573,0.832817783332748
2020-04-20,1045,23,0.0220095693779904,0.0140021184005748,0.032842984246704,0.0464305029956896,0.0296792304103719,0.0689064120348869,0.301525917160529,0.174149250347333,0.870130360287334
